STRUCTURE,STRUCTURE_ID,ACTION,LOCATION,TRANSACT,MEASURE,TIME_PERIOD,CONTACT_PERSON_ORGANISATION,UNIT_OF_MEASURE_USED,POWER_CODE,REFERENCE_PERIOD,DIRECT_SOURCE,STATISTICAL_POPULATION,KEY_STATISTICAL_CONCEPT,OTHER_COMMENTS
dataflow,OECD:SNA_TABLE1(1.0),I,AUS,B1GC_E,V,~,,,,,,,"en: ""Chain constant price estimates, referenced to fiscal year 2008-2009."",fr: ""Prix constants en chaîne, basés sur l'année fiscale de référence 2008-2009.""",
dataflow,OECD:SNA_TABLE1(1.0),I,AUS,B1GD,V,~,,,,,,,"en: ""Chain constant price estimates, referenced to fiscal year 2008-2009."",fr: ""Prix constants en chaîne, basés sur l'année fiscale de référence 2008-2009.""",
dataflow,OECD:SNA_TABLE1(1.0),I,AUS,B1GF,V,~,,,,,,,"en: ""Chain constant price estimates, referenced to fiscal year 2008-2009."",fr: ""Prix constants en chaîne, basés sur l'année fiscale de référence 2008-2009.""",
dataflow,OECD:SNA_TABLE1(1.0),I,AUS,B1GG_I,V,~,,,,,,,"en: ""Chain constant price estimates, referenced to fiscal year 2008-2009."",fr: ""Prix constants en chaîne, basés sur l'année fiscale de référence 2008-2009.""",
dataflow,OECD:SNA_TABLE1(1.0),I,AUS,B1GJ_K,V,~,,,,,,,"en: ""Chain constant price estimates, referenced to fiscal year 2008-2009."",fr: ""Prix constants en chaîne, basés sur l'année fiscale de référence 2008-2009.""",
dataflow,OECD:SNA_TABLE1(1.0),I,AUS,B1GL_P,V,~,,,,,,,"en: ""Chain constant price estimates, referenced to fiscal year 2008-2009."",fr: ""Prix constants en chaîne, basés sur l'année fiscale de référence 2008-2009.""",
dataflow,OECD:SNA_TABLE1(1.0),I,AUS,P31S14,C,~,,,,,,,"en: ""«Final consumption expenditure of households» includes «Final consumption expenditure of NPISH's»."",fr: ""Les «Dépenses de consommation finale des ménages» comprennent les «Dépenses de consommation finale des institutions sans but lucratif au service des ménages».""",
dataflow,OECD:SNA_TABLE1(1.0),I,AUS,P31S14,V,~,,,,,,,"en: ""«Final consumption expenditure of households» includes «Final consumption expenditure of NPISH's»."",fr: ""Les «Dépenses de consommation finale des ménages» comprennent les «Dépenses de consommation finale des institutions sans but lucratif au service des ménages».""",
dataflow,OECD:SNA_TABLE1(1.0),I,AUS,P31S14,VOB,~,,,,,,,"en: ""«Final consumption expenditure of households» includes «Final consumption expenditure of NPISH's»."",fr: ""Les «Dépenses de consommation finale des ménages» comprennent les «Dépenses de consommation finale des institutions sans but lucratif au service des ménages».""",
dataflow,OECD:SNA_TABLE1(1.0),I,AUS,P31S15,C,~,,,,,,,"en: ""«Final consumption expenditure of households» includes «Final consumption expenditure of NPISH's»."",fr: ""Les «Dépenses de consommation finale des ménages» comprennent les «Dépenses de consommation finale des institutions sans but lucratif au service des ménages».""",
dataflow,OECD:SNA_TABLE1(1.0),I,AUS,P31S15,V,~,,,,,,,"en: ""«Final consumption expenditure of households» includes «Final consumption expenditure of NPISH's»."",fr: ""Les «Dépenses de consommation finale des ménages» comprennent les «Dépenses de consommation finale des institutions sans but lucratif au service des ménages».""",
dataflow,OECD:SNA_TABLE1(1.0),I,AUS,P31S15,VOB,~,,,,,,,"en: ""«Final consumption expenditure of households» includes «Final consumption expenditure of NPISH's»."",fr: ""Les «Dépenses de consommation finale des ménages» comprennent les «Dépenses de consommation finale des institutions sans but lucratif au service des ménages».""",
dataflow,OECD:SNA_TABLE1(1.0),I,AUS,P51,C,~,,,,,,,"en: ""«Ownership transfer cost» are included in the total but have not been allocated by type of asset and by industry."",fr: ""Les «coûts de transfert de propriété» sont inclus dans le total mais n'ont pas été répartis par type de capital et par branche d'activité.""",
dataflow,OECD:SNA_TABLE1(1.0),I,AUS,P51,V,~,,,,,,,"en: ""«Ownership transfer cost» are included in the total but have not been allocated by type of asset and by industry."",fr: ""Les «coûts de transfert de propriété» sont inclus dans le total mais n'ont pas été répartis par type de capital et par branche d'activité.""",
dataflow,OECD:SNA_TABLE1(1.0),I,AUS,P51,VOB,~,,,,,,,"en: ""«Ownership transfer cost» are included in the total but have not been allocated by type of asset and by industry."",fr: ""Les «coûts de transfert de propriété» sont inclus dans le total mais n'ont pas été répartis par type de capital et par branche d'activité.""",
dataflow,OECD:SNA_TABLE1(1.0),I,AUS,P51N1111,C,~,,,,,,,"en: ""«Ownership transfer cost» are included in the total but have not been allocated by type of asset and by industry."",fr: ""Les «coûts de transfert de propriété» sont inclus dans le total mais n'ont pas été répartis par type de capital et par branche d'activité.""",
dataflow,OECD:SNA_TABLE1(1.0),I,AUS,P51N1111,V,~,,,,,,,"en: ""«Ownership transfer cost» are included in the total but have not been allocated by type of asset and by industry."",fr: ""Les «coûts de transfert de propriété» sont inclus dans le total mais n'ont pas été répartis par type de capital et par branche d'activité.""",
dataflow,OECD:SNA_TABLE1(1.0),I,AUS,P51N1111,VOB,~,,,,,,,"en: ""«Ownership transfer cost» are included in the total but have not been allocated by type of asset and by industry."",fr: ""Les «coûts de transfert de propriété» sont inclus dans le total mais n'ont pas été répartis par type de capital et par branche d'activité.""",
dataflow,OECD:SNA_TABLE1(1.0),I,AUS,P51N1112,C,~,,,,,,,"en: ""«Ownership transfer cost» are included in the total but have not been allocated by type of asset and by industry."",fr: ""Les «coûts de transfert de propriété» sont inclus dans le total mais n'ont pas été répartis par type de capital et par branche d'activité.""",
dataflow,OECD:SNA_TABLE1(1.0),I,AUS,P51N1112,V,~,,,,,,,"en: ""«Ownership transfer cost» are included in the total but have not been allocated by type of asset and by industry."",fr: ""Les «coûts de transfert de propriété» sont inclus dans le total mais n'ont pas été répartis par type de capital et par branche d'activité.""",
dataflow,OECD:SNA_TABLE1(1.0),I,AUS,P51N1112,VOB,~,,,,,,,"en: ""«Ownership transfer cost» are included in the total but have not been allocated by type of asset and by industry."",fr: ""Les «coûts de transfert de propriété» sont inclus dans le total mais n'ont pas été répartis par type de capital et par branche d'activité.""",
dataflow,OECD:SNA_TABLE1(1.0),I,AUS,P51N1113,C,~,,,,,,,"en: ""«Ownership transfer cost» are included in the total but have not been allocated by type of asset and by industry."",fr: ""Les «coûts de transfert de propriété» sont inclus dans le total mais n'ont pas été répartis par type de capital et par branche d'activité.""",
dataflow,OECD:SNA_TABLE1(1.0),I,AUS,P51N1113,V,~,,,,,,,"en: ""«Ownership transfer cost» are included in the total but have not been allocated by type of asset and by industry."",fr: ""Les «coûts de transfert de propriété» sont inclus dans le total mais n'ont pas été répartis par type de capital et par branche d'activité.""",
dataflow,OECD:SNA_TABLE1(1.0),I,AUS,P51N1113,VOB,~,,,,,,,"en: ""«Ownership transfer cost» are included in the total but have not been allocated by type of asset and by industry."",fr: ""Les «coûts de transfert de propriété» sont inclus dans le total mais n'ont pas été répartis par type de capital et par branche d'activité.""",
dataflow,OECD:SNA_TABLE1(1.0),I,AUS,P51N11131,C,~,,,,,,,"en: ""«Ownership transfer cost» are included in the total but have not been allocated by type of asset and by industry."",fr: ""Les «coûts de transfert de propriété» sont inclus dans le total mais n'ont pas été répartis par type de capital et par branche d'activité.""",
dataflow,OECD:SNA_TABLE1(1.0),I,AUS,P51N11131,V,~,,,,,,,"en: ""«Ownership transfer cost» are included in the total but have not been allocated by type of asset and by industry."",fr: ""Les «coûts de transfert de propriété» sont inclus dans le total mais n'ont pas été répartis par type de capital et par branche d'activité.""",
dataflow,OECD:SNA_TABLE1(1.0),I,AUS,P51N11131,VOB,~,,,,,,,"en: ""«Ownership transfer cost» are included in the total but have not been allocated by type of asset and by industry."",fr: ""Les «coûts de transfert de propriété» sont inclus dans le total mais n'ont pas été répartis par type de capital et par branche d'activité.""",
dataflow,OECD:SNA_TABLE1(1.0),I,AUS,P51N1113I,C,~,,,,,,,"en: ""«Ownership transfer cost» are included in the total but have not been allocated by type of asset and by industry."",fr: ""Les «coûts de transfert de propriété» sont inclus dans le total mais n'ont pas été répartis par type de capital et par branche d'activité.""",
dataflow,OECD:SNA_TABLE1(1.0),I,AUS,P51N1113I,V,~,,,,,,,"en: ""«Ownership transfer cost» are included in the total but have not been allocated by type of asset and by industry."",fr: ""Les «coûts de transfert de propriété» sont inclus dans le total mais n'ont pas été répartis par type de capital et par branche d'activité.""",
dataflow,OECD:SNA_TABLE1(1.0),I,AUS,P51N1113I,VOB,~,,,,,,,"en: ""«Ownership transfer cost» are included in the total but have not been allocated by type of asset and by industry."",fr: ""Les «coûts de transfert de propriété» sont inclus dans le total mais n'ont pas été répartis par type de capital et par branche d'activité.""",
dataflow,OECD:SNA_TABLE1(1.0),I,AUS,P51N1113O,C,~,,,,,,,"en: ""«Ownership transfer cost» are included in the total but have not been allocated by type of asset and by industry."",fr: ""Les «coûts de transfert de propriété» sont inclus dans le total mais n'ont pas été répartis par type de capital et par branche d'activité.""",
dataflow,OECD:SNA_TABLE1(1.0),I,AUS,P51N1113O,V,~,,,,,,,"en: ""«Ownership transfer cost» are included in the total but have not been allocated by type of asset and by industry."",fr: ""Les «coûts de transfert de propriété» sont inclus dans le total mais n'ont pas été répartis par type de capital et par branche d'activité.""",
dataflow,OECD:SNA_TABLE1(1.0),I,AUS,P51N1113O,VOB,~,,,,,,,"en: ""«Ownership transfer cost» are included in the total but have not been allocated by type of asset and by industry."",fr: ""Les «coûts de transfert de propriété» sont inclus dans le total mais n'ont pas été répartis par type de capital et par branche d'activité.""",
dataflow,OECD:SNA_TABLE1(1.0),I,AUS,P51N1114,C,~,,,,,,,"en: ""«Ownership transfer cost» are included in the total but have not been allocated by type of asset and by industry."",fr: ""Les «coûts de transfert de propriété» sont inclus dans le total mais n'ont pas été répartis par type de capital et par branche d'activité.""",
dataflow,OECD:SNA_TABLE1(1.0),I,AUS,P51N1114,V,~,,,,,,,"en: ""«Ownership transfer cost» are included in the total but have not been allocated by type of asset and by industry."",fr: ""Les «coûts de transfert de propriété» sont inclus dans le total mais n'ont pas été répartis par type de capital et par branche d'activité.""",
dataflow,OECD:SNA_TABLE1(1.0),I,AUS,P51N1114,VOB,~,,,,,,,"en: ""«Ownership transfer cost» are included in the total but have not been allocated by type of asset and by industry."",fr: ""Les «coûts de transfert de propriété» sont inclus dans le total mais n'ont pas été répartis par type de capital et par branche d'activité.""",
dataflow,OECD:SNA_TABLE1(1.0),I,AUS,P51N112,C,~,,,,,,,"en: ""«Ownership transfer cost» are included in the total but have not been allocated by type of asset and by industry."",fr: ""Les «coûts de transfert de propriété» sont inclus dans le total mais n'ont pas été répartis par type de capital et par branche d'activité.""",
dataflow,OECD:SNA_TABLE1(1.0),I,AUS,P51N112,V,~,,,,,,,"en: ""«Ownership transfer cost» are included in the total but have not been allocated by type of asset and by industry."",fr: ""Les «coûts de transfert de propriété» sont inclus dans le total mais n'ont pas été répartis par type de capital et par branche d'activité.""",
dataflow,OECD:SNA_TABLE1(1.0),I,AUS,P51N112,VOB,~,,,,,,,"en: ""«Ownership transfer cost» are included in the total but have not been allocated by type of asset and by industry."",fr: ""Les «coûts de transfert de propriété» sont inclus dans le total mais n'ont pas été répartis par type de capital et par branche d'activité.""",
